query,Post ID,Post Content,nickname,link
污染; 2018-02-19; 1; 10,1,#才乡抚州欢度新春#【至广大居民的一封信】尊敬的广大居民朋友：过度燃放烟花爆竹，大量产生二氧化碳，氮氧化物、烟尘及碳粒等颗粒物，不但严重污染环境，而且危害身体健款，影响正常生活秩序。为了改善生态环境、顺应广大居民呼声，县政府决定从2018年2月5日起，正式施行《乐安县城市建成区烟花爆竹 ​			...展开全文c,抚州乐安发布,//weibo.com/3551927775/G3Tyn7dzU?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,2,		現在還拿來開玩笑的 你自己和桶姊談戀愛試試 請別污染ht的眼睛好嗎 怎麼剛打開群就有這種辣眼睛的東西 開玩笑都不行 ​		,我是小呵呵呵呵呵呵呵呵呵呵呵,//weibo.com/5708061368/G3TyiCc2Y?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,3,		光污染严重  今晚的夜空真鸡儿亮 和白天5 6点一样亮  ​		,本大爷去种树啦,//weibo.com/2694285227/G3Tyhrhbi?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,4,		遇到心动的鞋鞋可不要错过哈；【车内空气成购车重点考虑因素】车内的空气质量和车内污染问题近年来受到各界严重关注！在近日召开的第二届车内环境发展论坛上、而对其存在的普遍性以及危害普通大众也有了基本的认知：目前标准修订工作正在进行中、女人对自己下手要狠一点。车内空气质量标准是国家环保部 ​			...展开全文c,郝乃诗,//weibo.com/2848110543/G3TygyyTx?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,5,		昨天做的梦，六个人躲避“天道”追杀的故事打引号是因为不是自然道，反正就是被污染黑化了的（原本应该主持公理的）道六个人在之前的世界（空间？）里过不下去了，就合六人之力开了一个结界到了地球（…）因为地球上不能使用法术啊神力之类的超能力来追踪天道的追随者每年都会从“天母”那里得到奖 ​			...展开全文c,一颗帅气的雪梨,//weibo.com/1759289563/G3TygyyEL?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,6,		Bad Air Sponge 甲醛污染空气净化剂 ，可以吸收甲醛、中和异味等，适合用于新房、新车、或者卫生间等，被美国白宫、华盛顿博物馆等广泛使用。可中和各种烟雾，尘埃，甲醛，油漆，氨，苯等有害气体，24小时内去除率可达70-95%。  http://t.cn/RJvRz5o ​		,江南果然好,//weibo.com/5145750873/G3Tyali60?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,7,		这些神经病灯饰简直令人笑出猪叫！拖欠美术钱没给么，怎么会这么难看，笑到最后我都没力气拍别的污染眼球的照片了。大年初四，暴走一万两千步。 ​		,白发十七,//weibo.com/1747164613/G3Ty0zjBX?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,8,#成都城事#成都解除重污染天黄色预警，尾号限行时间恢复为工作日的7:30-20:00，22日（初七，星期四）限行4和9。 ​		,狂风沙001,//weibo.com/2203364320/G3TxUn1un?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,9,		回复@画舸-:让我想起了陶渊明的桃花源记//@画舸-:导演辛苦了 希望有机会能再次交流 看过片子以后真心觉得这个世外桃源美的一塌糊涂 也希望这么美的地方不要被外界的“黑”所污染 加油! 相信未来会更好的		,风色安年,//weibo.com/1951064601/G3TlzkM17?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,10,	  今天很開心和大家分享那麼多，已經很晚了，大家先休息！感謝！ ​	,NA,//weibo.com/3161415830/G3TxAhfGm?refer_flag=1001030103_
