query,Post ID,Post Content,nickname,link
污染; 2017-12-19; 2017-12-22; 11; 20,1,		【勤开窗通风】室内污染同样不可小觑，要注意通风，尤其是卫生间。卫生间高温、高湿的环境更易促使洗衣粉、消毒液等蒸发，迷漫在空气中。长期吸入会刺激呼吸道，损伤呼吸道黏膜，甚至诱发细胞变异而导致癌症等。各种清洁剂、洗涤剂在使用完后，一定要拧紧瓶口，并勤开窗、开排风扇，增加空气流通。 ​		,用户6346602013,//weibo.com/6346602013/FASzw2833?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,2,#冒险小王子#大多数的父母都是很爱孩子的，但是是的，动画市场是要管起来，不然还真[c看热闹]是太污染小孩了教育真的要讲究方法。 ​		,穆穆白OLyw3gq,//weibo.com/2971726252/FASzv7K7t?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,3,#冒险小王子#反正我父母是这是的，动画市场是[moc冒出]要管起来，不然还真是太污染小孩了么教育我的 ​		,我们的搜索,//weibo.com/1310490135/FASze14cJ?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,4,#冒险小王子#我也打算脚踏实地的做好每是的，动画市场是[lxhx得意]要管起来，不然还真是太污染小孩了一步了 ​		,尚尚小围脖_721_526_951,//weibo.com/1749635962/FASze0ilI?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,5,		自己家的蜂蜜，无污染，保质保量，喝着放心，有需要的可以私信给我。 |四平·七马... ​		,永固青春之美,//weibo.com/6065598699/FASzdqAw9?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,6,#王者出击#咳咳！空气严重污染！咳咳咳！ ​		,沙狱抛沙,//weibo.com/5890306315/FASz58JEQ?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,7,#冒险小王子#是的，动画市场是要管起我们一定要身体力行的教孩子。来，不然还真是太[不]污染小孩了 ​		,何谓逆天,//weibo.com/3095920993/FASz3DKQT?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,8,		中国地质大学防寒小贴士 /奋斗明天是2017年12月23日星期六 农历冬月初六后天就是平安夜了～武汉天气 /月亮1～13℃ 多云相对湿度66％			...展开全文c,CUG防寒处,//weibo.com/5999551507/FASyXbmrH?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,9,#冒险小王子#是的，我们在平时待人接物上面就会体现出。动画市[ppb早安]场是要管起来，不然还真是太污染小孩了 ​		,sxj520zjp,//weibo.com/1191747501/FASyO0aSY?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,10,		【世界卫生组织9条防癌提示】①不吃熏腌制食物。②不吃过热过硬、过焦过咸的食物，不喝过烫的水。③不吃发霉粮食及制品。④不用洗衣粉擦洗餐具、茶具或食物。⑤吃饭不要过饱，控制肉类的摄入量。⑥不吃被农药污染的蔬果。⑦不酗酒。⑧不吸烟。⑨每天开窗1至2小时。 ​		,庭品果小翔,//weibo.com/3205850997/FASyLBS1x?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,11,		无污染的环境生产车间，值得我们去关注！ |黔西南布依... 610711luck... ​		,610711lucky,//weibo.com/5874519156/FASyLl4b3?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,12,#冒险小王子#言传身教，身体力行，成为一个合格是的，动画市场是要管起来，不然还真是太污染小孩了的父母 ​		,刘阳老师_1143,//weibo.com/3250942625/FASyKqXsC?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,13,#冒险小王子#是的，动画市场是[bobuyaoa]要管起来，不然还对孩子的教育是最重要的。真是太污染小孩了 ​		,Yutong0317,//weibo.com/3262446004/FASyKbcRV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,14,#长春热点事#限号开始你今天能回家吗？秸秆和汽车尾气谁更污染？长春传的秒... ​		,晨会颜,//weibo.com/5936492125/FASyHtnbb?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,15,		【备孕期饮食禁忌】不止孕期，备孕期同样少不了饮食上的禁忌。为了你可以怀上健康聪明的宝宝，在孕前饮食中，你可要特别注意了哦。1、减肥要科学。2、营养摄入要均衡。3、孕前要减少吃各种腌制品，例如咸鱼、腊肉、香肠等食物。4、孕前避免食物污染。 ​		,国A海岸线gz,//weibo.com/282670608/FASyDDDUs?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,16,		【龙峪湾】龙峪湾位于河南省洛阳市西南165公里处伏牛山腹地的栾川县境内。这里“龙”文化荟萃，自然景观万千，四季景色秀丽，奇峰异石林谷幽深。是原始的、纯天然的、无污染的生态旅游区。观赏面积300余平方公里，已开发12个景区218景点，是河南省首家“全国文明森林公园”。 ​		,馨涛,//weibo.com/1642306707/FASywzqMV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,17,#冒险小王子#我也打算脚踏实地的做好每是的，动画市场是要管起来，不然还真[dino瞌睡]是太污染小孩了一步了 ​		,Anan802,//weibo.com/3916631677/FASyvDPwA?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,18,#冒险小王子#是的，动画市场父母才是[圆]孩子的第一个老师，支持。是要管起来，不然还真是太污染小孩了 ​		,凉静e6sp,//weibo.com/2954483720/FASyur7fZ?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,19,#冒险小王子#是的，动画市场是要管起我们一定要身体力行的教孩子。来，不然还真是太污染小孩了 ​		,Clearlove的夏天,//weibo.com/3175431842/FASyudvZt?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,20,		宁愿发展慢一点，也不要污染!//@道口烧鸡达人:泰国就这样卖卖大米 搞搞观光旅游业挺好的，发展工业竞争激烈且污染环境，金山银山不如绿水青山,一个和尚81076394,//weibo.com/3922930064/FAQCo40jz?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,21,"	  泰国面面观： 我在泰国满打满算也一年了,如果加上很久以前在这里居住的时间来累计,也就有不到两年. 很久以前的感觉和现在的感觉并不是特别一致. 比如对泰国先进的看法,它比中国迈入发展中的上一...文字版>> 网页链接 （新浪长微博>> 网页链接） ​	",NA,//weibo.com/5982715922/FASypbGWW?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,22,#冒险小王子#言传身教，身体力行，成为一个合格是的，动画市场是要管起来，不然还真是太污染小孩[酷库熊胜利]了的父母 ​		,霸牛的春天_471,//weibo.com/5488923371/FASyhv2M2?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 11; 20,23,		//@混乱博物馆:关注 @混乱博物馆 ，转发下面这条微博，我们将抽出5位幸运观众，分别送出由污染空气制成的「AIR-INK 空气墨水」一瓶，|12月24日晚... @微博抽奖平台 开奖。		,mh12321,//weibo.com/6174606644/FARH7y22y?refer_flag=1001030103_
