query,Post ID,Post Content,nickname,link
示威; 2018-02-16; 1; 25,1,		北京台也太坏了#春晚# 让景甜和关晓彤合唱一首《就是爱》，所以这是在给张继科和鹿晗粉丝示威么怕了怕了 ​		,脱发少女研究所,//weibo.com/5889978078/G3quPltsp?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,2,		一个人对你发脾气 表面是在示威其实是在乎你 ​		,卖海鲜的小姑娘,//weibo.com/5182820422/G3quH8xHy?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,3,		淡淡的两个字 “晚安” 出于礼貌而已我又有什么好说的呢淡了吧是真的淡了我也没想过那个女生发那些是故意向我示威 展示她赢了 我… 我不知道但是 应该不用继续下去了 没有回应 没有意义 ​		,jsxhey,//weibo.com/6474937844/G3qldFg4j?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,4,		贝拉你个不要脸的 拿自己的照片当封面 是在宣示主权向我们示威陈同学是你的吗？@蛋蛋解说,盖世英雄李白的小迷妹,//weibo.com/1775506770/G3oDvD3sM?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,5,	  新年福利：《你是我最深爱的人》by陈同学点赞的宝宝将有机会获得陈同学约炮一次 蛋蛋解说的... ​	,NA,//weibo.com/5255947651/G3qiFwpR8?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,6,		美国预算办公室主任马瓦尼估计，#川普 总统提议的 #阅兵 最多有可能让纳税人花费 #3千万美元。百度百科：“统治者这样定期阅兵，其用意除了检查兵员装备状况外，主要还在于 #向百姓示威。如春秋时晋文公认为“民未知礼(威仪)，未生其共(共同恭：敬肃)”，于是乎“大搜以示之礼”。另外，还有在战前或战 ​			...展开全文c,残破688,//weibo.com/6473587762/G3q3UbvAZ?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,7,		他总用威士忌，拉不起来臭名堂。危险的用光了，所以说要SAS出来示威，不修无术。总而统治韦兵，平行之，五籹及第。最后行程，感受风的速度在耳边，无论哪条路都通向家呗。危险风度，气死一国度；治水无人性，性气不通耶。不行，特朗普！ ​		,用户6310270055,//weibo.com/6310270055/G3pVJBUJy?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,8,#搞笑#一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为天使奶 ​		,nEricFilm,//weibo.com/6069044077/G3pQjn4Tz?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,9,		呜呜 软里还要亮出爪子来挠挠你示威 但是又有顾忌没有下手		,绵吱吱mangie,//weibo.com/5269494766/G3ocg142E?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,10,	  对8起 扑腾扑腾要起来的小猫真的好软一只 ​	,NA,//weibo.com/2961261734/G3pPGoZ0e?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,11,//@Gullyfox: 政治示威舞台和与之对应的敷衍 //@POPFriends化大佐:因为这群猪狗为他们自豪//@Zoharwolf:谁发，开了他//@manicureimrb:是这样了		,lei77花园,//weibo.com/3181155130/G3hxWnAQV?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,12,	  不让发。 ​	,NA,//weibo.com/1409402927/G3pHSE1Fh?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,13,		hhhh//@水不在深有隆則靈: 哈哈哈哈哈哈哈哈//@彳亍亻二：唐国强表示不服，并开了挖掘机来示威,落曰如火,//weibo.com/1810248254/G3h021HUs?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,14,	  张国立：知道为什么让我来介绍这些国宝嘛？因为这些，都曾经是我的。#春晚# ​	,NA,//weibo.com/1453881804/G3pjJ7JGn?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,15,		星島標題：八大校長籲政府與學生對話 近千示威者夜圍特首辦 ​		,御姐范宫晴语幽,//weibo.com/6447433517/G3pjqe6l9?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,16,		在一起了还示威？！		,小透明不想继续透明,//weibo.com/1775506770/G3oDvD3sM?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,17,	  新年福利：《你是我最深爱的人》by陈同学点赞的宝宝将有机会获得陈同学约炮一次 蛋蛋解说的... ​	,NA,//weibo.com/2295080594/G3piHzP6g?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,18,		鹿晗你真是个调皮宝宝，还晃悠悠地去示威 ​		,一只猫的追鹿日常,//weibo.com/6073627756/G3oO7qX3E?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,19,		最近两个月的微博真是有意思，任何撕逼的事情，当事人都纷纷举起法律的大旗示威，“实锤”反而经不起推敲了。大的有李小璐黄毅清马苏名誉被网友诽谤事件，小的有xx吐槽君指责网友造谣。啧，真真假假虚虚实实，看得清楚么？ ​		,一颗钢炮,//weibo.com/2284733714/G3oJIo9C1?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,20,		明玉格格～她家小丫头和她真的一个模子出来的，美美的～不是黑……当年全程围观了张檬插足后微博发白眼照示威…		,今天老板给我打钱了吗,//weibo.com/1900552512/G3nCzE2Az?refer_flag=1001030103_
示威; 2018-02-16; 1; 25,21,	  演员刘雨欣做客凤凰网娱乐联合嘉实基金专访间，她表示，“没想到自己能再登春晚，一审前才收到通知，以为自己只是来彩排的。”去年刘雨欣生了一场重病，她表示十分感恩家人的陪伴，感到自己很幸福。@嘉实基金 戳链接|春晚独“嘉”... 看春晚独“嘉”揭秘，秀出你的明星style，新年把汪带回家！ ​	,NA,//weibo.com/1784711224/G3oBochYN?refer_flag=1001030103_
